Year,number_of_match,average_goal
1930,18,3.888888888888889
1934,17,4.117647058823529
1938,18,4.666666666666667
1950,22,4.0
1954,26,5.384615384615385
1958,35,3.6
1962,32,2.78125
1966,32,2.78125
1970,32,2.96875
1974,38,2.5526315789473686
1978,38,2.6842105263157894
1982,52,2.8076923076923075
1986,52,2.5384615384615383
1990,52,2.2115384615384617
1994,52,2.7115384615384617
1998,64,2.671875
2002,64,2.515625
2006,64,2.296875
2010,64,2.265625
2014,64,2.671875
